Team 1,Team 2,Pitch,Runs Left,Balls Left,Wickets Remaining,Total Runs Scored,Current Run Rate,Required Run Rate,Winner
Pakistan,India,3,127,72,7,178,6.5,10.58333333,0
West Indies,Pakistan,2,55,33,6,162,7.448275862,10,0
India,England,2,16,11,7,156,7.76146789,8.727272727,0
Pakistan,India,2,40,13,5,170,7.345794393,18.46153846,0
West Indies,Australia,2,90,66,9,153,7.111111111,8.181818182,0
Pakistan,India,2,51,68,10,154,12,4.5,1
Afghanistan,Sri Lanka,2,129,84,10,170,7,9.214285714,0
New Zealand,India,1,59,74,10,133,9.782608696,4.783783784,1
West Indies,India,3,150,62,4,217,7.034482759,14.51612903,0
New Zealand,Australia,1,56,43,6,141,6.701298701,7.813953488,1
Sri Lanka,West Indies,2,73,59,7,153,7.967213115,7.423728814,1
England,West Indies,3,125,61,9,195,7.220338983,12.29508197,0
Sri Lanka,Afghanistan,1,59,65,9,111,5.781818182,5.446153846,1
West Indies,India,3,187,117,10,187,2,9.58974359,0
Pakistan,West Indies,2,34,22,5,161,7.836734694,9.272727273,0
West Indies,England,3,192,97,8,219,7.304347826,11.87628866,0
Australia,England,1,64,97,9,74,2.869565217,3.958762887,1
Sri Lanka,India,3,100,53,9,197,8.776119403,11.32075472,0
New Zealand,Sri Lanka,3,149,90,9,179,6.2,9.933333333,0
Afghanistan,Australia,3,80,36,7,176,6.928571429,13.33333333,0
Sri Lanka,West Indies,2,49,32,6,164,7.909090909,9.1875,0
England,Sri Lanka,3,204,88,8,232,5.4375,13.90909091,0
England,New Zealand,3,38,5,1,174,7.147826087,45.6,0
Afghanistan,Australia,1,108,113,8,112,4.285714286,5.734513274,1
West Indies,New Zealand,2,88,53,8,152,5.820895522,9.962264151,0
New Zealand,England,2,55,47,9,164,9.04109589,7.021276596,1
Sri Lanka,West Indies,2,48,30,6,164,7.8,9.6,0
Sri Lanka,Australia,3,144,107,10,172,13.38461538,8.074766355,1
England,Pakistan,3,27,9,4,208,9.837837838,18,0
New Zealand,Pakistan,2,104,79,10,169,9.658536585,7.898734177,1
Australia,Sri Lanka,2,161,109,9,164,2.181818182,8.862385321,1
India,Australia,3,45,29,9,176,8.703296703,9.310344828,1
Sri Lanka,India,1,96,87,9,124,5.272727273,6.620689655,1
Australia,Pakistan,1,148,114,9,148,1,7.789473684,1
India,West Indies,1,79,67,7,137,6.679245283,7.074626866,1
Afghanistan,India,3,76,30,4,183,7.2,15.2,0
West Indies,New Zealand,1,64,41,4,144,6.151898734,9.365853659,0
Australia,New Zealand,3,44,28,8,185,9.260869565,9.428571429,1
Afghanistan,Pakistan,2,54,41,6,157,7.898734177,7.902439024,1
Pakistan,Australia,3,125,56,8,209,7.96875,13.39285714,0
England,West Indies,3,205,94,8,222,4.153846154,13.08510638,0
Sri Lanka,Pakistan,2,61,46,6,168,8.756756757,7.956521739,1
New Zealand,Sri Lanka,3,170,99,8,195,7.428571429,10.3030303,0
Sri Lanka,Pakistan,3,177,102,8,198,7.333333333,10.41176471,0
England,Pakistan,1,111,90,9,143,6.6,7.4,0
West Indies,India,1,104,97,10,133,7.826086957,6.432989691,1
New Zealand,Pakistan,1,97,73,7,141,5.744680851,7.97260274,1
Sri Lanka,England,2,40,40,8,158,8.925,6,1
Australia,New Zealand,3,152,96,9,177,6.5,9.5,0
Afghanistan,Australia,2,112,90,7,150,7.8,7.466666667,0
West Indies,Afghanistan,1,59,51,7,146,7.652173913,6.941176471,1
New Zealand,Pakistan,1,127,103,10,140,4.941176471,7.398058252,1
New Zealand,Pakistan,3,122,71,9,196,9.183673469,10.30985915,1
Afghanistan,Sri Lanka,1,71,80,10,118,7.2,5.325,1
West Indies,Sri Lanka,1,56,67,9,138,9.396226415,5.014925373,1
West Indies,Sri Lanka,1,29,45,8,119,7.28,3.866666667,1
Afghanistan,Pakistan,3,168,108,9,175,4,9.333333333,1
West Indies,Sri Lanka,3,115,70,8,174,7.2,9.857142857,1
New Zealand,Afghanistan,2,15,1,1,150,6.857142857,90,0
India,England,3,185,80,9,235,7.65,13.875,0
Australia,New Zealand,1,35,22,6,148,6.979591837,9.545454545,1
India,Australia,2,48,57,9,156,10.38095238,5.052631579,1
West Indies,New Zealand,2,141,109,10,152,6.545454545,7.76146789,0
New Zealand,Pakistan,1,98,75,9,137,5.333333333,7.84,1
Australia,England,2,8,4,3,165,8.172413793,12,0
India,Australia,1,113,116,10,112,0,5.844827586,1
Pakistan,Australia,1,142,112,10,142,0.75,7.607142857,0
New Zealand,India,3,107,64,8,172,7.071428571,10.03125,1
Pakistan,Sri Lanka,3,121,79,10,179,8.634146341,9.189873418,1
Afghanistan,West Indies,1,29,28,8,136,7.043478261,6.214285714,1
India,Pakistan,3,166,109,9,172,3.818181818,9.137614679,0
England,Pakistan,2,96,56,6,155,5.625,10.28571429,1
Australia,England,3,75,34,7,175,7.046511628,13.23529412,1
Afghanistan,Sri Lanka,3,59,41,7,175,8.886075949,8.634146341,0
Australia,India,2,109,75,8,165,7.6,8.72,0
England,Sri Lanka,3,199,119,10,198,0,10.03361345,0
West Indies,Afghanistan,3,123,59,6,177,5.409836066,12.50847458,0
Australia,West Indies,2,49,28,6,170,7.956521739,10.5,1
Pakistan,Australia,3,165,109,10,185,11.45454545,9.082568807,1
Australia,India,3,40,46,7,183,11.67567568,5.217391304,1
Afghanistan,India,3,83,38,4,183,7.390243902,13.10526316,0
India,West Indies,3,228,106,9,241,6,12.90566038,0
West Indies,India,3,123,88,8,173,9.5625,8.386363636,0
England,Sri Lanka,2,139,90,8,163,5,9.266666667,1
Afghanistan,Australia,2,29,9,3,163,7.297297297,19.33333333,0
Afghanistan,Sri Lanka,1,13,46,10,118,8.594594595,1.695652174,1
Afghanistan,Pakistan,1,90,70,7,148,7.08,7.714285714,1
Afghanistan,India,3,89,59,8,176,8.655737705,9.050847458,1
New Zealand,India,1,70,53,7,145,6.805970149,7.924528302,1
Australia,England,2,88,48,7,165,6.5,11,1
Afghanistan,Pakistan,3,23,5,6,191,8.817391304,27.6,0
Sri Lanka,Pakistan,3,106,35,5,198,6.564705882,18.17142857,0
India,Sri Lanka,2,31,18,5,163,7.823529412,10.33333333,1
West Indies,New Zealand,3,165,96,8,199,8.75,10.3125,0
New Zealand,Sri Lanka,2,62,71,10,153,11.26530612,5.23943662,1
India,New Zealand,2,99,70,10,165,8.04,8.485714286,1
England,Pakistan,3,34,-2,1,175,6.983606557,-102,0
India,West Indies,1,44,18,4,140,5.705882353,14.66666667,0
New Zealand,Pakistan,1,52,16,2,136,4.903846154,19.5,0
Sri Lanka,New Zealand,3,78,56,8,183,9.9375,8.357142857,0
New Zealand,Australia,3,60,26,5,182,7.85106383,13.84615385,0
England,New Zealand,3,97,32,5,231,9.204545455,18.1875,0
England,West Indies,3,19,28,9,171,9.97826087,4.071428571,1
Sri Lanka,New Zealand,3,85,35,6,177,6.564705882,14.57142857,0
England,Sri Lanka,3,111,43,4,198,6.857142857,15.48837209,0
Australia,India,2,81,46,7,165,6.891891892,10.56521739,0
India,West Indies,2,80,57,8,159,7.619047619,8.421052632,1
England,Afghanistan,3,35,29,7,188,10.15384615,7.24137931,1
India,New Zealand,1,139,115,10,145,8.4,7.252173913,0
Australia,Sri Lanka,3,144,56,8,231,8.25,15.42857143,0
India,Afghanistan,2,113,89,7,152,7.741935484,7.617977528,1
India,West Indies,3,128,74,9,187,7.826086957,10.37837838,1
England,Sri Lanka,3,39,0,1,198,8,inf,0
India,West Indies,3,91,59,8,175,8.360655738,9.254237288,1
Pakistan,Australia,3,172,101,7,178,2.210526316,10.21782178,0
West Indies,England,1,84,90,10,135,10.4,5.6,1
West Indies,India,3,130,41,3,217,6.683544304,19.02439024,0
Pakistan,India,1,27,31,7,138,7.550561798,5.225806452,1
West Indies,Australia,2,134,110,10,154,12.6,7.309090909,1
Sri Lanka,New Zealand,3,118,65,6,177,6.545454545,10.89230769,0
India,England,3,54,6,4,235,9.578947368,54,0
New Zealand,Afghanistan,2,128,98,10,154,7.363636364,7.836734694,1
Afghanistan,Sri Lanka,1,19,49,10,118,8.450704225,2.326530612,1
